Ripartizione,Eta,Maschi celibi,Maschi coniugati,Maschi divorziati,Maschi vedovi,Maschi uniti civilmente,Maschi gia in unione civile (per scioglimento),Maschi gia in unione civile (per decesso del partner),Totale Maschi,Femmine nubili,Femmine coniugate,Femmine divorziate,Femmine vedove,Femmine unite civilmente,Femmine gia in unione civile (per scioglimento),Femmine gia in unione civile (per decesso del partner),Totale Femmine,Totale Maschi e Femmine
Italia,0,212756,0,0,0,0,0,0,212756,202218,0,0,0,0,0,0,202218,414974
Italia,1,224617,0,0,0,0,0,0,224617,212168,0,0,0,0,0,0,212168,436785
Italia,2,235153,0,0,0,0,0,0,235153,222161,0,0,0,0,0,0,222161,457314
Italia,3,242107,0,0,0,0,0,0,242107,229589,0,0,0,0,0,0,229589,471696
Italia,4,248565,0,0,0,0,0,0,248565,235204,0,0,0,0,0,0,235204,483769
Italia,5,256796,0,0,0,0,0,0,256796,242348,0,0,0,0,0,0,242348,499144
Italia,6,260833,0,0,0,0,0,0,260833,246458,0,0,0,0,0,0,246458,507291
Italia,7,272305,0,0,0,0,0,0,272305,257168,0,0,0,0,0,0,257168,529473
Italia,8,276769,0,0,0,0,0,0,276769,261133,0,0,0,0,0,0,261133,537902
Italia,9,285537,0,0,0,0,0,0,285537,268609,0,0,0,0,0,0,268609,554146
Italia,10,289596,0,0,0,0,0,0,289596,273168,0,0,0,0,0,0,273168,562764
Italia,11,292556,0,0,0,0,0,0,292556,276781,0,0,0,0,0,0,276781,569337
Italia,12,292641,0,0,0,0,0,0,292641,275384,0,0,0,0,0,0,275384,568025
Italia,13,293544,0,0,0,0,0,0,293544,275519,0,0,0,0,0,0,275519,569063
Italia,14,292112,0,0,0,0,0,0,292112,273759,0,0,0,0,0,0,273759,565871
Italia,15,294493,5,7,1,0,0,0,294506,277691,8,3,2,0,0,0,277704,572210
Italia,16,292757,4,9,1,0,0,0,292771,275226,4,4,1,0,0,0,275235,568006
Italia,17,291790,7,6,4,0,0,0,291807,273535,34,10,3,0,0,0,273582,565389
Italia,18,297955,30,13,1,1,0,0,298000,276398,300,7,1,1,0,0,276707,574707
Italia,19,308229,128,18,5,1,0,0,308381,280874,1480,6,2,1,0,0,282363,590744
Italia,20,307735,407,26,17,4,0,0,308189,276062,3160,30,8,8,1,0,279269,587458
Italia,21,312256,873,25,15,12,1,0,313182,273896,5882,41,8,7,1,0,279835,593017
Italia,22,308226,1681,33,12,16,1,1,309970,271737,9200,68,5,16,3,0,281029,590999
Italia,23,306402,3173,58,14,39,2,0,309688,269072,13872,103,19,26,2,0,283094,592782
Italia,24,302233,5631,69,6,52,0,0,307991,263221,20163,199,22,31,5,0,283641,591632
Italia,25,300405,8792,104,14,62,0,1,309378,260014,28832,307,48,39,2,0,289242,598620
Italia,26,299398,14110,140,22,85,3,0,313758,255852,40010,562,69,73,2,0,296568,610326
Italia,27,304378,21905,237,25,90,0,0,326635,253626,55573,725,98,78,6,1,310107,636742
Italia,28,292275,31808,370,32,102,3,0,324590,237709,71458,1067,115,71,3,0,310423,635013
Italia,29,285875,44462,549,28,162,6,1,331083,225149,89738,1539,175,105,3,1,316710,647793
Italia,30,268207,58803,817,44,159,3,1,328034,207812,108344,2166,232,159,5,0,318718,646752
Italia,31,258607,75540,1083,51,209,3,0,335493,193061,129747,2844,310,190,5,1,326158,661651
Italia,32,236137,90125,1384,65,233,3,0,327947,173599,143417,3521,402,200,9,0,321148,649095
Italia,33,220938,105925,1877,94,269,6,0,329109,160053,158023,4531,505,177,3,1,323293,652402
Italia,34,213066,122259,2478,97,263,3,0,338166,152833,174966,5744,614,213,4,1,334375,672541
Italia,35,201728,139303,3160,133,227,5,1,344557,143610,189052,6783,796,211,4,1,340457,685014
Italia,36,191613,154381,3904,174,297,3,0,350372,135919,201469,8060,943,209,5,1,346606,696978
Italia,37,185088,171021,4885,203,275,3,1,361476,131066,217247,9509,1228,245,5,0,359300,720776
Italia,38,175455,181318,5646,274,302,4,1,363000,124174,225918,10916,1471,212,2,0,362693,725693
Italia,39,170081,196155,6728,311,297,4,0,373576,118555,237146,12503,1743,202,4,1,370154,743730
Italia,40,165211,209138,8049,417,346,7,2,383170,115885,250926,14577,2082,226,5,0,383701,766871
Italia,41,167051,226343,9643,526,311,3,4,403881,116470,267264,17070,2595,203,8,1,403611,807492
Italia,42,163358,240101,11095,596,371,4,1,415526,114423,280727,19235,3058,230,5,2,417680,833206
Italia,43,162268,256836,13168,745,340,5,2,433364,113752,296768,21679,3667,228,6,0,436100,869464
Italia,44,161778,274898,15184,963,425,7,2,453257,113141,314620,24866,4294,251,2,0,457174,910431
Italia,45,160121,292398,17271,1107,453,4,4,471358,111809,331300,27218,5269,230,4,3,475833,947191
Italia,46,149204,297265,19036,1321,416,5,0,467247,105474,333312,29235,5872,239,4,1,474137,941384
Italia,47,142286,307674,20506,1561,411,6,1,472445,99755,339744,31425,6837,209,2,0,477972,950417
Italia,48,134483,315812,22499,1768,417,4,7,474990,95181,348082,33339,7895,216,3,2,484718,959708
Italia,49,124302,320277,23728,2023,421,4,5,470760,88869,347337,34990,8915,187,6,1,480305,951065
Italia,50,118837,334535,26187,2339,396,3,2,482299,86539,360236,36617,10453,174,6,1,494026,976325
Italia,51,110790,337661,26463,2699,429,7,2,478051,81423,359567,37668,12089,173,6,4,490930,968981
Italia,52,103687,343117,27991,3080,405,2,7,478289,78196,363736,38566,13557,174,4,6,494239,972528
Italia,53,98801,351478,29315,3711,427,3,1,483736,74399,368041,39195,15296,144,2,2,497079,980815
Italia,54,91079,356009,30189,4061,424,2,5,481769,70630,368412,39686,17398,154,2,4,496286,978055
Italia,55,85468,364826,31406,4685,390,1,7,486783,67599,375004,40538,20088,148,5,6,503388,990171
Italia,56,73992,344700,29240,5072,402,4,5,453415,60470,354868,37733,21203,131,3,2,474410,927825
Italia,57,66441,335489,28369,5469,342,2,4,436116,55599,344059,35665,23910,115,3,2,459353,895469
Italia,58,61417,330956,27178,5778,335,0,4,425668,52187,337433,34617,26358,110,2,4,450711,876379
Italia,59,55000,323684,25692,6338,307,0,5,411026,48280,326264,32991,28983,99,1,3,436621,847647
Italia,60,50749,317265,24550,6933,264,3,8,399772,45460,317654,30782,31779,87,1,4,425767,825539
Italia,61,45931,303271,22423,7480,273,3,4,379385,41428,303360,28880,34198,72,1,7,407946,787331
Italia,62,42902,301276,21770,8074,248,1,1,374272,39250,298925,27363,37600,78,2,1,403219,777491
Italia,63,39117,296816,20172,8874,212,4,2,365197,36379,291077,25660,41352,63,1,2,394534,759731
Italia,64,36120,291635,18753,9590,194,4,0,356296,34395,284159,23871,44473,56,3,5,386962,743258
Italia,65,33386,286780,17449,10578,184,0,1,348378,32308,277054,22522,49273,43,4,2,381206,729584
Italia,66,30244,274653,15667,11171,137,1,5,331878,29346,260309,20540,51372,42,0,1,361610,693488
Italia,67,28307,268201,14710,12039,144,1,2,323404,28078,253389,19111,55467,50,0,3,356098,679502
Italia,68,26628,266666,13584,13029,142,0,8,320057,26132,248500,18008,61212,43,1,3,353899,673956
Italia,69,25946,274932,13190,14817,132,2,4,329023,26432,252101,17799,69082,40,2,5,365461,694484
Italia,70,24387,274828,12370,16341,124,2,6,328058,25418,247360,16549,76723,26,1,5,366082,694140
Italia,71,24336,282833,11647,18811,124,2,5,337758,25835,251403,16151,87638,30,0,4,381061,718819
Italia,72,22413,273185,10855,19960,98,1,4,326516,24383,236107,15080,94465,22,1,3,370061,696577
Italia,73,21215,267243,9942,21906,100,2,3,320411,23436,228032,14260,102920,16,0,4,368668,689079
Italia,74,15532,201279,7129,18562,61,0,0,242563,18629,166991,10209,87340,12,0,1,283182,525745
Italia,75,15674,201550,6691,20289,70,0,3,244277,18728,163520,9671,97668,17,0,2,289606,533883
Italia,76,15038,196333,5936,22006,62,0,3,239378,18981,157211,9074,105972,8,0,0,291246,530624
Italia,77,14826,188173,5471,23208,69,0,3,231750,18696,146603,8503,112780,12,2,0,286596,518346
Italia,78,14417,181309,5055,24960,67,0,0,225808,18793,137156,7747,121799,9,0,4,285508,511316
Italia,79,14902,190835,4877,29362,42,0,2,240020,20245,138371,7655,143542,8,0,3,309824,549844
Italia,80,13645,179206,4058,30577,30,0,1,227517,19551,123956,6681,148370,6,0,3,298567,526084
Italia,81,12020,162959,3636,31080,25,0,0,209720,18628,107525,5957,152038,2,0,1,284151,493871
Italia,82,10374,139685,2881,30141,21,1,1,183104,17230,87067,4907,146759,2,0,1,255966,439070
Italia,83,8844,119351,2248,28921,13,0,3,159380,16042,70460,4182,142867,1,1,1,233554,392934
Italia,84,8285,110879,2031,29853,18,0,0,151066,15784,60915,3699,148109,2,1,1,228511,379577
Italia,85,7338,94710,1602,29274,20,0,1,132945,14941,49005,3060,144299,3,0,4,211312,344257
Italia,86,6213,80353,1275,28109,16,0,1,115967,14073,38317,2713,137724,1,0,2,192830,308797
Italia,87,5252,65931,971,26412,3,1,0,98570,13167,29723,2212,129728,1,0,5,174836,273406
Italia,88,4464,55563,774,24934,13,0,3,85751,12229,23070,1932,122517,2,0,2,159752,245503
Italia,89,3916,46062,651,23933,12,0,2,74576,11852,17891,1792,118550,0,0,0,150085,224661
Italia,90,2905,33565,453,19615,1,0,1,56540,10005,11917,1267,98286,3,0,2,121480,178020
Italia,91,2303,24755,345,16979,3,0,0,44385,8829,8414,1038,85561,5,0,1,103848,148233
Italia,92,1732,18196,251,14422,2,0,0,34603,7476,5720,827,72747,0,0,0,86770,121373
Italia,93,1281,12303,162,11646,1,0,0,25393,6087,3795,637,59369,0,0,2,69890,95283
Italia,94,930,8275,112,8892,0,0,0,18209,4986,2483,523,47246,1,0,3,55242,73451
Italia,95,704,5237,80,7148,2,0,0,13171,4000,1619,379,36480,0,0,0,42478,55649
Italia,96,490,3354,59,5408,0,0,0,9311,2970,1001,246,27919,0,0,0,32136,41447
Italia,97,323,2045,29,3726,0,0,0,6123,2091,618,207,20262,0,0,1,23179,29302
Italia,98,230,1237,25,2515,0,0,0,4007,1584,374,125,14470,0,0,0,16553,20560
Italia,99,155,723,17,1634,0,0,0,2529,1005,227,71,9589,0,0,0,10892,13421
Italia,100,168,570,13,1581,0,0,0,2332,1388,266,92,10725,0,0,1,12472,14804
Italia,Totale,13630430,13895065,759749,750692,13852,154,154,29050096,11768762,14096388,1090140,3628909,6878,174,141,30591392,59641488
